"cond";"group_night";"group";"IdLabel";"chased";"loc";"outcome";"rev_night"
"train";0;"mixed1";"Ind3";"Ind2";3;1;NA
"test";1;"mixed1";"Ind1";"Ind4";3;1;7
"test";1;"mixed1";"Ind1";"Ind4";3;1;7
"test";1;"mixed1";"Ind1";"Ind2";4;1;7
"test";1;"mixed1";"Ind1";"Ind5";5;1;7
"test";1;"mixed1";"Ind1";"Ind2";4;1;7
"test";1;"mixed1";"Ind5";"Ind2";2;1;7
"test";1;"mixed1";"Ind4";"Ind3";5;1;7
"test";1;"mixed1";"Ind3";"Ind2";3;1;7
"test";1;"mixed1";"Ind1";"Ind2";6;1;7
"test";1;"mixed1";"Ind2";"Ind3";2;1;7
"test";1;"mixed1";"Ind3";"Ind5";3;1;7
"test";1;"mixed1";"Ind4";"Ind1";10;1;7
"test";1;"mixed1";"Ind5";"Ind3";4;1;7
"test";1;"mixed1";"Ind1";"Ind3";6;1;7
"test";1;"mixed1";"Ind5";"Ind3";5;1;7
"test";1;"mixed1";"Ind5";"Ind3";4;1;7
"test";2;"mixed1";"Ind4";"Ind2";9;1;6
"test";2;"mixed1";"Ind4";"Ind6";8;1;6
"test";2;"mixed1";"Ind4";"Ind5";7;1;6
"test";2;"mixed1";"Ind4";"Ind2";6;1;6
"test";2;"mixed1";"Ind5";"Ind3";10;1;6
"test";2;"mixed1";"Ind4";"Ind5";10;1;6
"test";2;"mixed1";"Ind2";"Ind6";10;1;6
"test";2;"mixed1";"Ind2";"Ind6";9;1;6
"test";2;"mixed1";"Ind2";"Ind6";10;1;6
"test";2;"mixed1";"Ind2";"Ind6";8;1;6
"test";2;"mixed1";"Ind2";"Ind3";10;1;6
"test";2;"mixed1";"Ind1";"Ind6";6;1;6
"test";2;"mixed1";"Ind1";"Ind3";6;1;6
"test";2;"mixed1";"Ind2";"Ind4";10;1;6
"test";2;"mixed1";"Ind1";"Ind6";6;1;6
"test";2;"mixed1";"Ind1";"Ind5";6;1;6
"test";2;"mixed1";"Ind1";"Ind6";6;1;6
"test";2;"mixed1";"Ind1";"Ind5";6;1;6
"test";2;"mixed1";"Ind2";"Ind6";10;1;6
"test";2;"mixed1";"Ind5";"Ind3";4;1;6
"test";2;"mixed1";"Ind5";"Ind3";3;1;6
"test";2;"mixed1";"Ind1";"Ind3";4;1;6
"test";2;"mixed1";"Ind1";"Ind6";6;1;6
"test";2;"mixed1";"Ind1";"Ind5";5;1;6
"test";3;"mixed1";"Ind4";"Ind2";6;1;5
"test";3;"mixed1";"Ind4";"Ind2";8;1;5
"test";3;"mixed1";"Ind4";"Ind3";9;1;5
"test";3;"mixed1";"Ind4";"Ind6";6;1;5
"test";3;"mixed1";"Ind4";"Ind5";6;1;5
"test";3;"mixed1";"Ind4";"Ind5";6;1;5
"test";3;"mixed1";"Ind4";"Ind5";8;1;5
"test";3;"mixed1";"Ind4";"Ind5";9;1;5
"test";3;"mixed1";"Ind4";"Ind6";10;1;5
"test";3;"mixed1";"Ind4";"Ind6";6;1;5
"test";3;"mixed1";"Ind4";"Ind6";6;1;5
"test";3;"mixed1";"Ind4";"Ind6";10;1;5
"test";3;"mixed1";"Ind5";"Ind3";5;1;5
"test";3;"mixed1";"Ind1";"Ind2";3;1;5
"test";3;"mixed1";"Ind1";"Ind2";5;1;5
"test";3;"mixed1";"Ind1";"Ind2";4;1;5
"test";3;"mixed1";"Ind4";"Ind6";10;1;5
"test";3;"mixed1";"Ind4";"Ind6";9;1;5
"test";3;"mixed1";"Ind1";"Ind5";5;1;5
"test";3;"mixed1";"Ind1";"Ind6";2;1;5
"test";3;"mixed1";"Ind1";"Ind3";5;1;5
"test";4;"mixed1";"Ind1";"Ind3";3;1;4
"test";4;"mixed1";"Ind4";"Ind1";5;1;4
"test";4;"mixed1";"Ind4";"Ind6";4;1;4
"test";4;"mixed1";"Ind4";"Ind3";2;1;4
"test";4;"mixed1";"Ind4";"Ind6";5;1;4
"test";4;"mixed1";"Ind4";"Ind6";3;1;4
"test";4;"mixed1";"Ind5";"Ind3";1;1;4
"test";4;"mixed1";"Ind5";"Ind6";3;1;4
"test";4;"mixed1";"Ind4";"Ind3";1;1;4
"test";4;"mixed1";"Ind4";"Ind6";1;1;4
"test";4;"mixed1";"Ind4";"Ind3";1;1;4
"test";4;"mixed1";"Ind5";"Ind6";1;1;4
"test";4;"mixed1";"Ind4";"Ind3";1;1;4
"test";4;"mixed1";"Ind6";"Ind5";1;1;4
"test";5;"mixed1";"Ind4";"Ind5";1;1;3
"test";5;"mixed1";"Ind4";"Ind6";5;1;3
"test";5;"mixed1";"Ind4";"Ind6";1;1;3
"test";5;"mixed1";"Ind4";"Ind5";2;1;3
"test";5;"mixed1";"Ind5";"Ind3";1;1;3
"test";5;"mixed1";"Ind4";"Ind6";3;1;3
"test";5;"mixed1";"Ind4";"Ind6";4;1;3
"test";5;"mixed1";"Ind4";"Ind3";1;1;3
"test";5;"mixed1";"Ind4";"Ind6";3;1;3
"test";5;"mixed1";"Ind4";"Ind3";5;1;3
"test";5;"mixed1";"Ind4";"Ind6";3;1;3
"test";5;"mixed1";"Ind4";"Ind3";5;1;3
"test";5;"mixed1";"Ind5";"Ind3";9;1;3
"test";5;"mixed1";"Ind5";"Ind3";2;1;3
"test";5;"mixed1";"Ind4";"Ind2";8;1;3
"test";5;"mixed1";"Ind1";"Ind3";2;1;3
"test";5;"mixed1";"Ind2";"Ind6";2;1;3
"test";5;"mixed1";"Ind5";"Ind3";2;1;3
"test";6;"mixed1";"Ind4";"Ind6";9;1;2
"test";6;"mixed1";"Ind4";"Ind6";7;1;2
"test";6;"mixed1";"Ind4";"Ind3";9;1;2
"test";6;"mixed1";"Ind4";"Ind6";6;1;2
"test";6;"mixed1";"Ind5";"Ind3";7;1;2
"test";6;"mixed1";"Ind1";"Ind3";4;1;2
"test";6;"mixed1";"Ind4";"Ind3";2;1;2
"test";6;"mixed1";"Ind4";"Ind6";7;1;2
"test";6;"mixed1";"Ind1";"Ind5";4;1;2
"test";6;"mixed1";"Ind2";"Ind3";6;1;2
"test";6;"mixed1";"Ind2";"Ind3";7;1;2
"test";6;"mixed1";"Ind1";"Ind6";1;1;2
"test";6;"mixed1";"Ind2";"Ind3";6;1;2
"test";6;"mixed1";"Ind1";"Ind3";5;1;2
"test";6;"mixed1";"Ind1";"Ind3";4;1;2
"test";6;"mixed1";"Ind2";"Ind6";7;1;2
