"group_night";"cond";"IdLabel";"group";"sex";"phase";"n_detections";"n_chases";"n_feedings";"prop_chases";"n_chased";"weight";"glicko_rating";"glicko_rank";"prop_chased"
-2;"train";"Ind19";"mixed4";"f";"2";398;0;335;0;0;10.33;1855.84888074887;4;0
-2;"train";"Ind20";"mixed4";"f";"2";736;3;279;0.00407608695652174;2;10.47;1785.90858935726;6;0.00271739130434783
-2;"train";"Ind21";"mixed4";"m";"2";74;0;1;0;0;8.7;2093.50682339093;2;0
-2;"train";"Ind22";"mixed4";"m";"2";1;0;0;0;0;8.89;2672.21544625536;1;0
-2;"train";"Ind23";"mixed4";"f";"1";1;0;0;0;0;9.95;1851.76346357324;5;0
-2;"train";"Ind23";"mixed4";"f";"2";496;2;311;0.00403225806451613;3;9.95;1851.76346357324;5;0.00604838709677419
-2;"train";"Ind24";"mixed4";"m";"1";1;0;0;0;0;9.32;1922.08783787267;3;0
-2;"train";"Ind24";"mixed4";"m";"2";209;0;170;0;0;9.32;1922.08783787267;3;0
-1;"train";"Ind10";"mixed2";"f";"1";374;2;190;0.0053475935828877;0;9.69;1802.00629065308;5;0
-1;"train";"Ind10";"mixed2";"f";"2";586;2;389;0.00341296928327645;0;9.69;1802.00629065308;5;0
-1;"train";"Ind11";"mixed2";"f";"1";259;0;233;0;0;9.64;2256.45302967819;2;0
-1;"train";"Ind11";"mixed2";"f";"2";423;0;364;0;0;9.64;2256.45302967819;2;0
-1;"train";"Ind12";"mixed2";"f";"1";402;0;147;0;2;9.88;1775.29570607386;6;0.00497512437810945
-1;"train";"Ind12";"mixed2";"f";"2";623;0;457;0;1;9.88;1775.29570607386;6;0.00160513643659711
-1;"train";"Ind19";"mixed4";"f";"1";384;0;291;0;0;10.33;1855.84888074887;4;0
-1;"train";"Ind19";"mixed4";"f";"2";810;0;665;0;0;10.33;1855.84888074887;4;0
-1;"train";"Ind20";"mixed4";"f";"1";326;0;151;0;0;10.47;1785.90858935726;6;0
-1;"train";"Ind20";"mixed4";"f";"2";993;0;674;0;2;10.47;1785.90858935726;6;0.00201409869083585
-1;"train";"Ind21";"mixed4";"m";"2";490;3;64;0.00612244897959184;1;8.7;2093.50682339093;2;0.00204081632653061
-1;"train";"Ind22";"mixed4";"m";"2";359;0;228;0;0;8.89;2672.21544625536;1;0
-1;"train";"Ind23";"mixed4";"f";"1";271;0;159;0;0;9.95;1851.76346357324;5;0
-1;"train";"Ind23";"mixed4";"f";"2";975;1;614;0.00102564102564103;0;9.95;1851.76346357324;5;0
-1;"train";"Ind24";"mixed4";"m";"1";54;0;31;0;0;9.32;1922.08783787267;3;0
-1;"train";"Ind24";"mixed4";"m";"2";561;1;513;0.0017825311942959;2;9.32;1922.08783787267;3;0.0035650623885918
-1;"train";"Ind25";"6m";"m";"1";245;0;207;0;0;9.87;2214.24441062051;3;0
-1;"train";"Ind25";"6m";"m";"2";439;0;366;0;0;9.87;2214.24441062051;3;0
-1;"train";"Ind26";"6m";"m";"2";121;0;65;0;0;9.85;2620.61200120589;1;0
-1;"train";"Ind27";"6m";"m";"2";351;0;65;0;0;9.02;1676.60040124505;6;0
-1;"train";"Ind28";"6m";"m";"1";303;0;253;0;0;9.72;1737.70825906718;5;0
-1;"train";"Ind28";"6m";"m";"2";312;0;282;0;0;9.72;1737.70825906718;5;0
-1;"train";"Ind30";"6m";"m";"2";140;0;38;0;0;8.75;1940.09572092232;4;0
-1;"train";"Ind31";"6f";"f";"1";851;1;477;0.00117508813160987;0;10.09;2121.65028123233;4;0
-1;"train";"Ind31";"6f";"f";"2";591;1;396;0.00169204737732657;0;10.09;2121.65028123233;4;0
-1;"train";"Ind32";"6f";"f";"1";405;0;285;0;1;9.41;2313.75449249427;2;0.00246913580246914
-1;"train";"Ind32";"6f";"f";"2";614;0;382;0;1;9.41;2313.75449249427;2;0.00162866449511401
-1;"train";"Ind8";"mixed2";"m";"1";264;0;55;0;0;9.85;2681.62512514229;1;0
