"effect";"group";"term";"estimate";"conf.low";"conf.high"
"fixed";NA;"(Intercept)";-2.78;-5.94;0.53
"fixed";NA;"cohort_day";0.33;0.13;0.53
"fixed";NA;"sampling_before_phase2";-0.84;-2.57;0.83
"fixed";NA;"cohort2";0.56;-0.34;1.45
"fixed";NA;"cohort3";0.3;-0.6;1.23
"fixed";NA;"cohort4";0.52;-0.61;1.53
"ran_pars";"IdLabel";"var__(Intercept)";0.75;0.26;1.59
"ran_pars";"Residual";"var__Observation";1.5;1.07;2.14
NA;NA;"rep__flexibility";0.13;0.04;0.24
NA;NA;"cor__flexibility.plasticity";-0.47;-0.86;0.13
NA;NA;"cor__flexibility.intercept";-0.39;-0.7;0.05
