"day";"IdLabel";"perseverance";"flexibility";"slope";"neg_slope"
14;"Ind1";8;52;NA;NA
14;"Ind10";5;55;NA;NA
14;"Ind11";20;40;NA;NA
14;"Ind12";19;41;NA;NA
14;"Ind2";12;48;NA;NA
14;"Ind3";21;39;NA;NA
14;"Ind4";30;30;NA;NA
14;"Ind5";3;57;NA;NA
14;"Ind6";13;47;NA;NA
14;"Ind7";5;55;NA;NA
14;"Ind8";6;54;NA;NA
14;"Ind9";32;28;NA;NA
15;"Ind1";5;55;NA;NA
15;"Ind10";8;52;NA;NA
15;"Ind11";22;38;NA;NA
15;"Ind12";13;47;NA;NA
15;"Ind2";15;45;NA;NA
15;"Ind3";3;57;NA;NA
15;"Ind4";22;38;NA;NA
15;"Ind5";6;54;NA;NA
15;"Ind6";7;53;NA;NA
15;"Ind7";28;32;NA;NA
15;"Ind8";0;60;NA;NA
15;"Ind9";13;47;NA;NA
16;"Ind1";10;50;NA;NA
16;"Ind10";7;53;NA;NA
16;"Ind11";8;52;NA;NA
16;"Ind12";2;58;NA;NA
16;"Ind2";1;59;NA;NA
16;"Ind3";11;49;NA;NA
16;"Ind4";8;52;NA;NA
16;"Ind5";4;56;NA;NA
16;"Ind6";7;53;NA;NA
16;"Ind7";0;60;NA;NA
16;"Ind8";2;58;NA;NA
17;"Ind1";0;60;NA;NA
17;"Ind10";5;55;NA;NA
17;"Ind11";4;56;NA;NA
17;"Ind12";31;29;NA;NA
17;"Ind2";3;57;NA;NA
17;"Ind3";1;59;NA;NA
17;"Ind4";12;48;NA;NA
17;"Ind5";0;60;NA;NA
17;"Ind6";0;60;NA;NA
17;"Ind7";0;60;NA;NA
17;"Ind8";4;56;NA;NA
17;"Ind9";0;60;NA;NA
31;"Ind13";33;27;NA;NA
31;"Ind14";0;60;NA;NA
31;"Ind15";0;60;NA;NA
31;"Ind16";5;55;NA;NA
31;"Ind17";0;60;NA;NA
31;"Ind18";1;59;NA;NA
31;"Ind19";8;52;NA;NA
31;"Ind20";7;53;NA;NA
31;"Ind21";0;60;NA;NA
31;"Ind22";24;36;NA;NA
31;"Ind23";6;54;NA;NA
31;"Ind24";12;48;NA;NA
32;"Ind13";12;48;NA;NA
32;"Ind14";2;58;NA;NA
32;"Ind15";11;49;NA;NA
32;"Ind16";2;58;NA;NA
32;"Ind17";7;53;NA;NA
32;"Ind18";3;57;NA;NA
32;"Ind19";18;42;NA;NA
32;"Ind20";3;57;NA;NA
32;"Ind21";0;60;NA;NA
32;"Ind22";3;57;NA;NA
32;"Ind23";5;55;NA;NA
32;"Ind24";6;54;NA;NA
33;"Ind13";7;53;NA;NA
33;"Ind14";0;60;NA;NA
33;"Ind15";8;52;NA;NA
33;"Ind16";2;58;NA;NA
33;"Ind17";20;40;NA;NA
33;"Ind18";8;52;NA;NA
33;"Ind19";9;51;NA;NA
33;"Ind20";3;57;NA;NA
33;"Ind21";0;60;NA;NA
33;"Ind22";2;58;NA;NA
33;"Ind23";17;43;NA;NA
33;"Ind24";9;51;NA;NA
34;"Ind13";3;57;NA;NA
34;"Ind14";0;60;NA;NA
34;"Ind15";3;57;NA;NA
34;"Ind16";1;59;NA;NA
34;"Ind17";1;59;NA;NA
34;"Ind18";0;60;NA;NA
34;"Ind19";15;45;NA;NA
34;"Ind20";7;53;NA;NA
34;"Ind21";0;60;NA;NA
34;"Ind24";21;39;NA;NA
48;"Ind25";4;56;NA;NA
48;"Ind26";0;60;NA;NA
48;"Ind27";16;44;NA;NA
48;"Ind28";0;60;NA;NA
48;"Ind29";3;57;NA;NA
48;"Ind30";0;60;NA;NA
48;"Ind31";10;50;NA;NA
48;"Ind33";14;46;NA;NA
48;"Ind34";0;60;NA;NA
48;"Ind35";25;35;NA;NA
48;"Ind36";0;60;NA;NA
49;"Ind25";17;43;NA;NA
49;"Ind26";1;59;NA;NA
49;"Ind27";2;58;NA;NA
49;"Ind28";4;56;NA;NA
49;"Ind29";17;43;NA;NA
49;"Ind30";2;58;NA;NA
49;"Ind31";15;45;NA;NA
49;"Ind32";5;55;NA;NA
49;"Ind33";21;39;NA;NA
49;"Ind34";6;54;NA;NA
49;"Ind35";15;45;NA;NA
49;"Ind36";3;57;NA;NA
50;"Ind25";8;52;NA;NA
50;"Ind26";0;60;NA;NA
50;"Ind27";5;55;NA;NA
50;"Ind28";28;32;NA;NA
50;"Ind29";18;42;NA;NA
50;"Ind30";5;55;NA;NA
50;"Ind31";31;29;NA;NA
50;"Ind32";29;31;NA;NA
50;"Ind33";3;57;NA;NA
50;"Ind34";8;52;NA;NA
50;"Ind35";16;44;NA;NA
50;"Ind36";0;60;NA;NA
51;"Ind25";0;60;NA;NA
51;"Ind26";0;60;NA;NA
51;"Ind27";1;59;NA;NA
51;"Ind28";7;53;NA;NA
51;"Ind29";21;39;NA;NA
51;"Ind30";0;60;NA;NA
51;"Ind31";12;48;NA;NA
51;"Ind32";0;60;NA;NA
51;"Ind33";2;58;NA;NA
51;"Ind34";0;60;NA;NA
51;"Ind35";4;56;NA;NA
51;"Ind36";7;53;NA;NA
65;"Ind37";10;50;NA;NA
