"group";"group_night";"phase";"sex";"sd_consumed";"group2";"night"
"mixed1";1;"1";"m";0.122351282191688;"mixed1 m";-3.65432098765432
"mixed1";1;"1";"f";0.359656663818126;"mixed1 f";-3.65432098765432
"mixed1";1;"2";"m";0.108206035366613;"mixed1 m";-3.65432098765432
"mixed1";1;"2";"f";0.0762823719396883;"mixed1 f";-3.65432098765432
"mixed1";2;"1";"m";0.0932179346120334;"mixed1 m";-2.65432098765432
"mixed1";2;"1";"f";0.32388591098307;"mixed1 f";-2.65432098765432
"mixed1";2;"2";"m";0.252702064363023;"mixed1 m";-2.65432098765432
"mixed1";2;"2";"f";0.194845023886507;"mixed1 f";-2.65432098765432
"mixed1";3;"1";"m";0.730621881230868;"mixed1 m";-1.65432098765432
"mixed1";3;"1";"f";0.0412563126482886;"mixed1 f";-1.65432098765432
"mixed1";3;"2";"m";0.080983537421709;"mixed1 m";-1.65432098765432
"mixed1";3;"2";"f";0.113614846447695;"mixed1 f";-1.65432098765432
"mixed1";4;"1";"m";0.677758253361772;"mixed1 m";-0.654320987654321
"mixed1";4;"1";"f";0.179170542593735;"mixed1 f";-0.654320987654321
"mixed1";5;"1";"m";0.793143797386914;"mixed1 m";0.345679012345679
"mixed1";5;"1";"f";0.184373940674923;"mixed1 f";0.345679012345679
"mixed1";5;"2";"m";0.111980281002207;"mixed1 m";0.345679012345679
"mixed1";5;"2";"f";0.228842194535885;"mixed1 f";0.345679012345679
"mixed1";6;"1";"m";0.777266846070254;"mixed1 m";1.34567901234568
"mixed1";6;"1";"f";0.150443787951957;"mixed1 f";1.34567901234568
"mixed1";6;"2";"m";0.37400701865072;"mixed1 m";1.34567901234568
"mixed1";6;"2";"f";0.13784804435803;"mixed1 f";1.34567901234568
"mixed1";7;"1";"m";0.803286219226995;"mixed1 m";2.34567901234568
"mixed1";7;"1";"f";0.156311654502578;"mixed1 f";2.34567901234568
"mixed1";7;"2";"m";0.49152822909778;"mixed1 m";2.34567901234568
"mixed1";7;"2";"f";0.134752860204648;"mixed1 f";2.34567901234568
"mixed2";1;"1";"m";0.283827999558418;"mixed2 m";-3.65432098765432
"mixed2";1;"1";"f";0.0997183533758957;"mixed2 f";-3.65432098765432
"mixed2";1;"2";"m";0.157447081056885;"mixed2 m";-3.65432098765432
"mixed2";1;"2";"f";0.144359216308947;"mixed2 f";-3.65432098765432
"mixed2";2;"1";"m";0.362459767882359;"mixed2 m";-2.65432098765432
"mixed2";2;"1";"f";0.341223289552946;"mixed2 f";-2.65432098765432
"mixed2";2;"2";"m";0.31609927238132;"mixed2 m";-2.65432098765432
"mixed2";2;"2";"f";0.163980435824928;"mixed2 f";-2.65432098765432
"mixed2";3;"1";"m";0.57426220782264;"mixed2 m";-1.65432098765432
"mixed2";3;"1";"f";0.158791005202856;"mixed2 f";-1.65432098765432
"mixed2";3;"2";"m";0.1886133611386;"mixed2 m";-1.65432098765432
"mixed2";3;"2";"f";0.123853071553891;"mixed2 f";-1.65432098765432
"mixed2";4;"1";"m";0.516919964791456;"mixed2 m";-0.654320987654321
"mixed2";4;"1";"f";0.367443306284566;"mixed2 f";-0.654320987654321
"mixed2";4;"2";"m";0.196786686541544;"mixed2 m";-0.654320987654321
"mixed2";4;"2";"f";0.149840192649814;"mixed2 f";-0.654320987654321
"mixed2";5;"1";"m";0.526048556060496;"mixed2 m";0.345679012345679
"mixed2";5;"1";"f";0.415122973747941;"mixed2 f";0.345679012345679
"mixed2";5;"2";"m";0.22130766668449;"mixed2 m";0.345679012345679
"mixed2";5;"2";"f";0.221730880423394;"mixed2 f";0.345679012345679
"mixed2";6;"1";"m";0.515450854430695;"mixed2 m";1.34567901234568
"mixed2";6;"1";"f";0.533227202981993;"mixed2 f";1.34567901234568
"mixed2";6;"2";"m";0.221871772276992;"mixed2 m";1.34567901234568
"mixed2";6;"2";"f";0.242929173491644;"mixed2 f";1.34567901234568
"mixed2";7;"1";"m";0.434532795079957;"mixed2 m";2.34567901234568
"mixed2";7;"1";"f";0.419838758731651;"mixed2 f";2.34567901234568
"mixed2";7;"2";"m";0.241354683678054;"mixed2 m";2.34567901234568
"mixed2";7;"2";"f";0.334215499341368;"mixed2 f";2.34567901234568
"mixed2";8;"1";"m";0.44243879049348;"mixed2 m";3.34567901234568
"mixed2";8;"1";"f";0.36839460274729;"mixed2 f";3.34567901234568
"mixed2";8;"2";"m";0.127630652013274;"mixed2 m";3.34567901234568
"mixed2";8;"2";"f";0.263442751529309;"mixed2 f";3.34567901234568
"mixed2";9;"1";"m";0.428437082117472;"mixed2 m";4.34567901234568
"mixed2";9;"1";"f";0.344954707171826;"mixed2 f";4.34567901234568
"mixed2";9;"2";"m";0.183189337389853;"mixed2 m";4.34567901234568
"mixed2";9;"2";"f";0.191055184000156;"mixed2 f";4.34567901234568
"mixed3";1;"1";"m";0.0416082924427331;"mixed3 m";-3.65432098765432
"mixed3";1;"1";"f";0.230343945727543;"mixed3 f";-3.65432098765432
"mixed3";1;"2";"m";0.133798667158284;"mixed3 m";-3.65432098765432
"mixed3";1;"2";"f";0.1091539432789;"mixed3 f";-3.65432098765432
"mixed3";2;"1";"m";0.104083299973307;"mixed3 m";-2.65432098765432
"mixed3";2;"1";"f";0.172524152898466;"mixed3 f";-2.65432098765432
"mixed3";2;"2";"m";0.255102103741489;"mixed3 m";-2.65432098765432
"mixed3";2;"2";"f";0.0704006392016436;"mixed3 f";-2.65432098765432
"mixed3";3;"1";"m";0.374218630393161;"mixed3 m";-1.65432098765432
"mixed3";3;"1";"f";0.151554445662277;"mixed3 f";-1.65432098765432
"mixed3";3;"2";"m";0.338879895144774;"mixed3 m";-1.65432098765432
"mixed3";3;"2";"f";0.126301557129488;"mixed3 f";-1.65432098765432
"mixed3";4;"1";"m";0.222378243839934;"mixed3 m";-0.654320987654321
"mixed3";4;"1";"f";0.156850512697069;"mixed3 f";-0.654320987654321
"mixed3";4;"2";"m";0.168763888317377;"mixed3 m";-0.654320987654321
"mixed3";4;"2";"f";0.0937527777366268;"mixed3 f";-0.654320987654321
"mixed3";5;"1";"m";0.42759745477883;"mixed3 m";0.345679012345679
"mixed3";5;"1";"f";0.209110218146635;"mixed3 f";0.345679012345679
"mixed3";5;"2";"m";0.0276511000383951;"mixed3 m";0.345679012345679
