"IdLabel";"weight";"cond";"prob_cond";"day";"cohort_day";"cohort";"cage";"vis_bins";"n_vis_to_first";"n_total";"max_date";"mean_vis_to_first";"over_mean";"over_crit"
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(0,20]";0;20;2014-09-08 18:31:24;13.4;0;0
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(20,40]";0;20;2014-09-08 18:49:28;13.4;0;0
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(40,60]";12;20;2014-09-08 19:30:04;13.4;0;0
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(60,80]";20;20;2014-09-08 20:31:41;13.4;1;0
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(80,100]";20;20;2014-09-08 21:50:58;13.4;1;1
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(100,120]";20;20;2014-09-08 23:48:22;13.4;1;2
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(120,140]";20;20;2014-09-09 01:30:13;13.4;1;3
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(140,160]";20;20;2014-09-09 02:57:56;13.4;1;4
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(160,180]";20;20;2014-09-09 04:15:30;13.4;1;5
"Ind1";7.706;"plast";0.83;12;12;"1";1;"(180,200]";2;2;2014-09-09 04:34:21;13.4;0;5
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(0,20]";6;20;2014-09-04 18:17:05;17.75;0;0
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(20,40]";17;20;2014-09-04 18:36:15;17.75;0;0
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(40,60]";19;20;2014-09-04 19:02:33;17.75;1;0
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(60,80]";20;20;2014-09-04 19:13:08;17.75;1;1
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(80,100]";17;20;2014-09-04 19:25:31;17.75;0;1
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(100,120]";17;20;2014-09-04 19:40:49;17.75;0;1
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(120,140]";20;20;2014-09-04 20:04:46;17.75;1;1
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(140,160]";20;20;2014-09-04 20:31:00;17.75;1;2
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(160,180]";19;20;2014-09-04 20:46:37;17.75;1;3
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(180,200]";15;20;2014-09-04 21:13:47;17.75;0;3
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(200,220]";19;20;2014-09-04 21:42:02;17.75;1;3
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(220,240]";20;20;2014-09-04 22:02:15;17.75;1;4
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(240,260]";17;20;2014-09-04 22:30:58;17.75;0;4
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(260,280]";17;20;2014-09-05 00:00:28;17.75;0;4
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(280,300]";19;20;2014-09-05 00:46:55;17.75;1;4
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(300,320]";19;20;2014-09-05 01:14:25;17.75;1;5
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(320,340]";20;20;2014-09-05 01:41:43;17.75;1;6
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(340,360]";20;20;2014-09-05 02:11:15;17.75;1;7
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(360,380]";20;20;2014-09-05 03:09:33;17.75;1;8
"Ind1";7.791;"plast";0.3;9;9;"1";1;"(380,400]";14;14;2014-09-05 03:46:55;17.75;0;8
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(0,20]";11;20;2014-09-03 18:27:26;15.5;0;0
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(20,40]";16;20;2014-09-03 19:21:35;15.5;1;0
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(40,60]";19;20;2014-09-03 19:51:48;15.5;1;1
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(60,80]";17;20;2014-09-03 20:14:53;15.5;1;2
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(80,100]";10;20;2014-09-03 20:27:20;15.5;0;2
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(100,120]";19;20;2014-09-03 21:30:18;15.5;1;2
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(120,140]";18;20;2014-09-03 21:55:59;15.5;1;3
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(140,160]";15;20;2014-09-03 22:17:51;15.5;0;3
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(160,180]";18;20;2014-09-03 22:40:47;15.5;1;3
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(180,200]";16;20;2014-09-03 23:09:54;15.5;1;4
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(200,220]";19;20;2014-09-03 23:52:38;15.5;1;5
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(220,240]";19;20;2014-09-04 00:32:31;15.5;1;6
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(240,260]";15;20;2014-09-04 01:00:14;15.5;0;6
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(260,280]";18;20;2014-09-04 01:23:34;15.5;1;6
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(280,300]";16;20;2014-09-04 02:17:37;15.5;1;7
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(300,320]";14;20;2014-09-04 02:52:12;15.5;0;7
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(320,340]";14;20;2014-09-04 03:30:02;15.5;0;7
"Ind1";7.796;"plast";0.3;8;8;"1";1;"(340,360]";5;6;2014-09-04 04:08:54;15.5;0;7
"Ind1";7.902;"plast";0.83;11;11;"1";1;"(0,20]";20;20;2014-09-07 18:36:56;18.8181818181818;1;0
