"effect";"group";"term";"estimate";"conf.low";"conf.high"
"fixed";NA;"(Intercept)";-2.63;-5.81;0.6
"fixed";NA;"prob_cen";-2.45;-3.21;-1.71
"fixed";NA;"weight";-0.1;-0.46;0.26
"fixed";NA;"group50-83-30";1.09;-0.06;2.2
"fixed";NA;"cohort2";0.56;-0.65;1.59
"fixed";NA;"cohort3";0.69;-0.4;1.76
"fixed";NA;"cohort4";0.82;-0.4;2.16
"fixed";NA;"group50-83-30:cohort2";-0.73;-2.26;0.84
"fixed";NA;"group50-83-30:cohort3";-0.93;-2.48;0.54
"fixed";NA;"group50-83-30:cohort4";-0.69;-2.91;1.37
"ran_pars";"IdLabel";"var__(Intercept)";0.76;0.43;1.46
"ran_pars";"IdLabel";"var__prob_cen";2.76;0.67;6.28
"ran_pars";"Residual";"var__Observation";1.53;1.31;1.82
"ran_pars";"IdLabel";"cor__(Intercept).prob_cen";-0.26;-0.75;0.15
NA;NA;"rep__sampling:0.3";0.17;0.1;0.29
NA;NA;"rep__sampling:0.5";0.14;0.09;0.24
NA;NA;"rep__sampling:0.83";0.08;0;0.17
