"night";"group";"group_night";"IdLabel";"phase";"cond";"patch";"sex";"n";"vol_consumed";"phase_dur";"vis_hour";"ml_hour"
1;"mixed1";0;"Ind1";1;"train";1;"m";136;3.84;5.9;23.0508474576271;0.650847457627119
1;"mixed1";0;"Ind1";1;"train";2;"m";179;4.89;5.9;30.3389830508475;0.828813559322034
1;"mixed1";0;"Ind1";2;"train";1;"m";223;5.55;6.1;36.5573770491803;0.909836065573771
1;"mixed1";0;"Ind1";2;"train";2;"m";296;7.32;6.1;48.5245901639344;1.2
1;"mixed1";0;"Ind2";1;"train";1;"m";115;3.33;5.9;19.4915254237288;0.564406779661017
1;"mixed1";0;"Ind2";1;"train";2;"m";164;4.8;5.9;27.7966101694915;0.813559322033898
1;"mixed1";0;"Ind2";2;"train";1;"m";209;5.58;6.1;34.2622950819672;0.914754098360656
1;"mixed1";0;"Ind2";2;"train";2;"m";193;5.31;6.1;31.6393442622951;0.870491803278688
1;"mixed1";0;"Ind3";1;"train";1;"f";492;14.37;5.9;83.3898305084746;2.43559322033898
1;"mixed1";0;"Ind3";2;"train";1;"f";427;11.58;6.1;70;1.89836065573771
1;"mixed1";0;"Ind3";2;"train";2;"f";42;1.23;6.1;6.88524590163934;0.201639344262295
1;"mixed1";0;"Ind4";1;"train";1;"m";281;8.13;5.9;47.6271186440678;1.37796610169492
1;"mixed1";0;"Ind4";1;"train";2;"m";227;6.6;5.9;38.4745762711864;1.11864406779661
1;"mixed1";0;"Ind4";2;"train";1;"m";153;4.14;6.1;25.0819672131148;0.678688524590164
1;"mixed1";0;"Ind4";2;"train";2;"m";288;8.25;6.1;47.2131147540984;1.35245901639344
1;"mixed1";0;"Ind5";1;"train";1;"f";173;5.04;5.9;29.3220338983051;0.854237288135593
1;"mixed1";0;"Ind5";1;"train";2;"f";203;5.79;5.9;34.4067796610169;0.98135593220339
1;"mixed1";0;"Ind5";2;"train";1;"f";273;6.9;6.1;44.7540983606557;1.13114754098361
1;"mixed1";0;"Ind5";2;"train";2;"f";276;7.05;6.1;45.2459016393443;1.15573770491803
1;"mixed1";0;"Ind6";2;"train";1;"f";219;5.64;6.1;35.9016393442623;0.924590163934426
1;"mixed1";0;"Ind6";2;"train";2;"f";145;3.99;6.1;23.7704918032787;0.654098360655738
2;"mixed1";1;"Ind1";1;"test";1;"m";1013;6.93;5.9;171.694915254237;1.17457627118644
2;"mixed1";1;"Ind1";1;"test";2;"m";96;0;5.9;16.271186440678;0
2;"mixed1";1;"Ind1";2;"test";1;"m";342;1.2;6.1;56.0655737704918;0.19672131147541
2;"mixed1";1;"Ind1";2;"test";2;"m";869;5.76;6.1;142.459016393443;0.944262295081967
2;"mixed1";1;"Ind2";1;"test";1;"m";1104;5.31;5.9;187.118644067797;0.9
2;"mixed1";1;"Ind2";1;"test";2;"m";60;0;5.9;10.1694915254237;0
2;"mixed1";1;"Ind2";2;"test";1;"m";1240;4.2;6.1;203.27868852459;0.688524590163935
2;"mixed1";1;"Ind2";2;"test";2;"m";432;1.8;6.1;70.8196721311475;0.295081967213115
2;"mixed1";1;"Ind3";1;"test";1;"f";731;2.58;5.9;123.898305084746;0.43728813559322
2;"mixed1";1;"Ind3";1;"test";2;"f";15;0;5.9;2.54237288135593;0
