"term";"estimate";"conf.low";"conf.high";"eff.samp";"pMCMC";"Model";"CI"
"(Intercept)";-6.16;-12.63;-0.44;1000;0.05;"Chase score";"(-12.63, -0.44)"
"sex (female)";-1.44;-2.43;-0.39;1000;0.001;"Chase score";"(-2.43, -0.39)"
"phase1";0.46;0.18;0.79;1000;0.014;"Chase score";"(0.18, 0.79)"
"weight";-0.11;-0.75;0.51;1050.66305397234;0.768;"Chase score";"(-0.75, 0.51)"
"sex (female):phase1";0.05;-0.33;0.47;999.999999999999;0.732;"Chase score";"(-0.33, 0.47)"
"(Intercept)";-7.01;-11.57;-2.11;1000;0.004;"Chased score";"(-11.57, -2.11)"
"sex (female)";0.52;-0.24;1.31;1000;0.172;"Chased score";"(-0.24, 1.31)"
"phase1";0.95;0.66;1.2;1109.17071219199;0.001;"Chased score";"(0.66, 1.2)"
"weight";-0.09;-0.55;0.42;1000;0.73;"Chased score";"(-0.55, 0.42)"
"sex (female):phase1";0.09;-0.22;0.42;1094.69831048538;0.58;"Chased score";"(-0.22, 0.42)"
"(Intercept)";-5.06;-9.82;-0.34;2000;0.035;"Chased score";"(-9.82, -0.34)"
"sex (female)";0.7;-0.17;1.55;1999.99999999999;0.111;"Chased score";"(-0.17, 1.55)"
"phase";-0.95;-1.23;-0.69;2000;5e-04;"Chased score";"(-1.23, -0.69)"
"weight";-0.09;-0.59;0.38;2000;0.711;"Chased score";"(-0.59, 0.38)"
"sex (female):phase";-0.09;-0.42;0.21;2000;0.581;"Chased score";"(-0.42, 0.21)"
