IdLabel;day;DEE;weight;weightdiff;Condition
Ind1;1;3.271.168;8.655;0.085;0.5
Ind2;1;3.198.464;8.408;0.176;0.5
Ind3;1;392.032;7.948;-0.03;0.5
Ind4;1;49.645.184;8.085;-0.165;0.5
Ind5;1;25.347.712;9.275;0.093;0.5
Ind6;1;41.115.264;9.026;-0.087;0.5
Ind7;1;28.027.136;7.869;-0.002;0.5
Ind8;1;41.525.888;9.258;-0.213;0.5
Ind9;1;36.915.328;9.251;-0.165;0.5
Ind10;1;40.255.232;8.024;-0.061;0.5
Ind11;1;NA;NA;NA;0.5
Ind12;1;3.858.752;8.462;-0.05;0.5
Ind13;1;27.129.984;8.56;0.061;0.5
Ind14;1;24.748.544;8.794;0.105;0.5
Ind15;1;27.035.136;9.01;0.204;0.5
Ind16;1;40.124.544;9.697;0.155;0.5
Ind17;1;21.179.264;9.013;0.252;0.5
Ind18;1;15.137.792;8.669;0.485;0.5
Ind19;1;28.929.152;8.998;0.288;0.5
Ind20;1;27.266.176;7.868;0.216;0.5
Ind21;1;34.918.272;8.869;0.096;0.5
Ind22;1;26.591.104;8.266;0.039;0.5
Ind23;1;943.424;9.253;0.493;0.5
Ind24;1;23.175.424;8.441;0.182;0.5
Ind25;1;36.270.848;8.664;0.086;0.5
Ind26;1;33.326.336;9.032;-0.14;0.5
Ind27;1;25.092.224;8.202;0.042;0.5
Ind28;1;36.731.648;8.867;0.074;0.5
Ind29;1;28.497.152;8.116;0.029;0.5
Ind30;1;30.109.952;8.506;-0.013;0.5
Ind31;1;39.101.312;8.29;-0.085;0.5
Ind32;1;31.759.872;9.244;-0.092;0.5
Ind33;1;28.005.248;9.116;0.031;0.5
Ind34;1;3.501.056;8.766;-0.119;0.5
Ind35;1;40.438.656;8.762;-0.091;0.5
Ind36;1;32.484.736;8.773;-0.028;0.5
Ind37;1;3.977.792;8.887;-0.081;0.5
Ind38;1;25.451.776;8.39;-0.007;0.5
Ind39;1;32.868.096;8.259;-0.056;0.5
Ind40;1;30.680.576;7.908;0.037;0.5
Ind41;1;37.133.056;9.949;-0.095;0.5
Ind42;1;29.496.192;8.438;0.021;0.5
Ind43;1;3.190.144;9.054;-0.002;0.5
Ind44;1;3.209.088;8.179;-0.079;0.5
Ind1;2;35.720.192;8.604;-0.051;0.5
Ind2;2;35.652.608;8.402;-0.006;0.5
Ind3;2;40.942.592;7.761;-0.187;0.5
Ind4;2;37.304.448;8.054;-0.031;0.5
Ind5;2;43.885.184;9.26;-0.015;0.5
Ind6;2;27.608.192;8.916;-0.11;0.5
Ind7;2;25.784.704;7.929;0.06;0.5
Ind8;2;35.208.832;8.878;-0.38;0.5
