IdLabel;weight;sex;forearm
Ind1;9.99;m;NA
Ind2;9.28;m;NA
Ind3;9.36;f;NA
Ind4;10.17;m;NA
Ind5;9.78;f;NA
Ind6;9.47;f;NA
Ind7;9.12;m;35
Ind8;9.85;m;35
Ind9;10.24;m;36.8
Ind10;9.69;f;36.7
Ind11;9.64;f;38.2
Ind12;9.88;f;35.8
Ind13;10.44;m;35.5
Ind14;9.88;m;36.6
Ind15;10.37;f;37.5
Ind16;9.91;m;35.4
Ind17;10.16;f;38.1
Ind18;9.55;f;36.8
Ind19;10.33;f;36.7
Ind20;10.47;f;36.3
Ind21;8.7;m;34
Ind22;8.89;m;35.1
Ind23;9.95;f;35.8
Ind24;9.32;m;34.5
Ind25;9.87;m;NA
Ind26;9.85;m;NA
Ind27;9.02;m;NA
Ind28;9.72;m;NA
Ind29;10;m;NA
Ind30;8.75;m;NA
Ind31;10.09;f;NA
Ind32;9.41;f;NA
Ind33;10.28;f;NA
Ind34;10.72;f;NA
Ind35;10.02;f;NA
Ind36;11.01;f;NA
